s e n nn
1 0 0 1
1 1 1 2
1 2 2 3
1 3 3 4
1 4 4 5
1 5 5 6
1 6 6 7
5 7 3 8
5 4 4 9
6 5 4 10
6 5 5 11
7 6 5 12
7 6 6 13
5 4 4 9
5 4 3 8
4 3 3 7
4 3 2 6
3 2 2 5
3 1 1 4
3 2 0 3
1 1 1 2
1 0 0 1
11 10 10 21
11 10 9 20
10 9 9 19
10 9 8 18
9 8 8 17
9 8 7 16
8 7 7 15
8 7 6 14
7 6 6 13
7 6 5 12
6 5 5 11
6 5 4 10
17 16 16 33
17 16 15 32
16 15 15 31
16 15 14 30
15 14 14 29
15 14 13 28
14 13 13 27
14 13 12 26
13 12 12 25
13 12 11 24
12 11 11 23
12 11 10 22
22 21 21 43
22 21 20 42
21 20 20 41
21 20 19 40
20 19 19 39
20 19 18 38
19 18 18 37
19 18 17 36
18 17 17 35
18 17 16 34
28 27 27 55
28 27 26 54
27 26 26 53
27 26 25 52
26 25 25 51
26 25 24 50
25 24 24 49
25 24 23 48
24 23 23 47
24 23 22 46
23 22 22 45
23 22 21 44
34 33 33 67
34 33 32 66
33 32 32 65
33 32 31 64
32 31 31 63
32 31 30 62
31 30 30 61
31 30 29 60
30 29 29 59
30 29 28 58
29 28 28 57
29 28 27 56
40 39 39 79
40 39 38 78
39 38 38 77
39 38 37 76
38 37 37 75
38 37 36 74
37 36 36 73
37 36 35 72
36 35 35 71
36 35 34 70
35 34 34 69
35 34 33 68
45 44 44 89
45 44 43 88
44 43 43 87
44 43 42 86
43 42 42 85
43 42 41 84
42 41 41 83
42 41 40 82
41 40 40 81
41 40 39 80
49 48 48 97
49 48 47 96
48 47 47 95
48 47 46 94
47 46 46 93
47 46 45 92
46 45 45 91
46 45 44 90
51 50 49 100
50 49 49 99
50 49 48 98
52 51 50 102
51 50 50 101
52 51 51 103
1 1 1 2
1 0 0 1
1 2 2 3
1 4 4 5
1 3 3 4
1 5 5 6
1 6 6 7
5 7 3 8
5 4 4 9
6 5 5 11
6 5 4 10
7 6 5 12
7 6 6 13
6 5 5 11
6 5 4 10
5 4 4 9
5 4 3 8
4 3 3 7
4 3 2 6
3 2 2 5
3 2 1 4
2 2 1 3
1 1 1 2
1 0 0 1
12 11 11 23
12 11 10 22
11 10 10 21
11 10 9 20
10 9 9 19
10 9 8 18
9 8 8 17
9 8 7 16
8 7 7 15
8 7 6 14
7 6 6 13
7 6 5 12
17 16 16 33
17 16 15 32
16 15 15 31
16 15 14 30
15 14 14 29
15 14 13 28
14 13 13 27
14 13 12 26
13 12 12 25
13 12 11 24
23 22 22 45
23 22 21 44
22 21 21 43
22 21 20 42
21 20 20 41
21 20 19 40
20 19 19 39
20 19 18 38
19 18 18 37
19 18 17 36
18 17 17 35
18 17 16 34
29 28 28 57
29 28 27 56
28 27 27 55
28 27 26 54
27 26 26 53
27 26 25 52
26 25 25 51
26 25 24 50
25 24 24 49
25 24 23 48
24 23 23 47
24 23 22 46
30 29 28 58
1 3 3 4
1 2 2 3
1 1 1 2
1 0 0 1
1 4 4 5
1 5 5 6
1 6 6 7
8 7 7 15
8 7 6 14
7 6 6 13
7 6 5 12
6 5 5 11
6 5 4 10
5 4 4 9
5 7 3 8
13 12 12 25
13 12 11 24
12 11 11 23
12 11 10 22
11 10 10 21
11 10 9 20
10 9 9 19
10 9 8 18
9 8 8 17
9 8 7 16
19 18 18 37
19 18 17 36
18 17 17 35
18 17 16 34
17 16 16 33
17 16 15 32
16 15 15 31
16 15 14 30
15 14 14 29
15 14 13 28
14 13 13 27
14 13 12 26
28 27 26 54
27 26 26 53
27 26 25 52
26 25 25 51
26 25 24 50
25 24 24 49
